,group,names,scores,logfoldchanges,pvals,pvals_adj
3277,control,C5AR2,-0.66343164,,0.5070541574206731,0.8645424678954357
3278,control,CFH,-0.6669481,2.118917,0.5048053046334195,0.8614424993744362
3279,control,AC012409.2,-0.6726041,1.7811751,0.5011991890259972,0.8567507504717902
3280,control,DTHD1,-0.684011,,0.49396822302412347,0.8465607935289177
3281,control,STX11,-0.6843653,2.7960668,0.49374453958356423,0.8465607935289177
3282,control,RGS18,-0.68647224,,0.49241536419204956,0.8460101234769202
3283,control,PTGER4,-0.68997246,2.9915721,0.49021150107356026,0.8437375233624101
3284,control,LINC02388,-0.69133633,2.4017558,0.48935419332701746,0.8429874131387036
3285,control,TFRC,-0.6950222,,0.48704138442359435,0.8397265248682662
3286,control,COL11A1,-0.697849,,0.4852716407627967,0.8373971367779063
3287,control,HLA-B,-0.7017758,,0.4828189947279432,0.8338842741415254
3288,control,PLCH1,-0.7034644,,0.48176639411791655,0.8327854695210312
3289,control,SLC15A3,-0.7172717,,0.47320649002777715,0.8215390451871132
3290,control,PYHIN1,-0.72071654,2.4044325,0.4710839194331101,0.820703692392178
3291,control,DCN,-0.727195,4.0387444,0.4671064785717288,0.8165344912450121
3292,control,CARTPT,-0.72972786,2.1611211,0.465556562604738,0.8153354861729213
3293,control,TNFRSF10A,-0.73103106,,0.4647601875579005,0.8146541412057853
3294,control,TNFRSF10B,-0.73363173,,0.4631732022541979,0.8132979846430165
3295,control,KCNMB1,-0.738716,,0.46007945319726107,0.8087575539498455
3296,control,TNFSF10,-0.7390058,,0.4599034643274398,0.8087575539498455
3297,control,AC090833.1,-0.7439096,,0.4569311604088139,0.805165040367954
3298,control,GIMAP8,-0.7447933,,0.45639668514913845,0.8049324253071225
3299,control,IGKC,-0.7526361,2.7751973,0.451668648178445,0.798706716495924
3300,control,ACER2,-0.7539984,,0.45085017909154523,0.7979649187460979
3301,control,TLR7,-0.7570579,,0.4490151543578934,0.7961261602090309
3302,control,MGP,-0.7657285,2.3961673,0.44383788029216675,0.7876448629852116
3303,control,AC092957.1,-0.76649314,3.0317838,0.44338294475193674,0.7875363139466017
3304,control,ZNF385D,-0.78070486,,0.43497610969578215,0.7739788428750571
3305,control,KIT,-0.7828433,,0.43371914154935787,0.7731178993749693
3306,control,CHRNA7,-0.7842572,,0.4328892324838297,0.7723269089809629
3307,control,DHRS9,-0.7893491,,0.4299080203654019,0.769862921528059
3308,control,IL4I1,-0.7976522,,0.42507237369293915,0.7643060545503263
3309,control,LTBP1,-0.8003855,,0.42348750555136905,0.762353745367001
3310,control,PTGDR,-0.8173484,2.6548555,0.4137293481628307,0.7481543366416468
3311,control,LINC01146,-0.8212634,,0.4114962533238009,0.7447895987761103
3312,control,SLFN12L,-0.82210016,4.0317974,0.4110198982957236,0.7446012650284848
3313,control,KLF2,-0.8240196,,0.40992843013880254,0.7432972441320083
3314,control,CD48,-0.82805055,2.8969243,0.40764186603079,0.7398218984224864
3315,control,WAS,-0.83223474,,0.4052764613835256,0.7361970234033163
